old_path,type,title,new_path,status,note
/יסודות-חינוך-ולדורף/חינוך-ולדורף-בישראל/,page,חינוך ולדורף בישראל,/waldorf-foundations.html,mapped,
/יסודות-חינוך-ולדורף/חינוך-ולדורף-ואתגרי-הזמן/,page,חינוך ולדורף ואתגרי הזמן,/waldorf-foundations.html,mapped,
/יסודות-חינוך-ולדורף/מאפיינים-מתודיים-ייחודיים-לחינוך-ולד/,page,מאפיינים מתודיים ייחודיים לחינוך ולדורף,/waldorf-characteristics.html,mapped,
/יסודות-חינוך-ולדורף/מהותו-של-בית-ספר-ולדורף/,page,מהותו של חינוך ולדורף,/waldorf-foundations.html,mapped,
/יסודות-חינוך-ולדורף/מעורבות-הורים/,page,מעורבות הורים,/waldorf-foundations.html,mapped,
/יסודות-חינוך-ולדורף/על-סינתזה-ואנליזה-בהוראת-המתמטיקה-בחט/,page,על סינתזה ואנליזה בהוראת המתמטיקה בחטיבת הביניים,/curriculum-math.html,mapped,
/יסודות-חינוך-ולדורף/שאלות-ותשובות-על-חינוך-ולדורף/,page,22 שאלות ותשובות על חינוך ולדורף,/waldorf-foundations.html,mapped,
/מכתב-לבתי-הספר/,page,מכתב לבתי הספר,/news.html,mapped,
/פורום-אנתרופוסופיה-בישראל/,page,פורום אנתרופוסופיה בישראל,/links.html,mapped,
/צרו-קשר/,page,צרו קשר,/contact.html,mapped,
/קישורים/,page,קישורים,/links.html,mapped,
/תוכניות-לימודים/,page,תוכניות לימודים,/curriculum.html,mapped,
/תוכניות-לימודים/מלאכות-ואמנויות-בית-ספר-תיכון/,page,מלאכות ואמנויות – בית ספר תיכון,/curriculum-crafts.html,mapped,
/תוכניות-לימודים/ערבית/,page,ערבית,/curriculum-languages.html,mapped,
/תוכניות-לימודים/תוכנית-הלימודים-בתיכון/,page,תוכנית הלימודים בתיכון,/curriculum.html,mapped,
/תוכניות-לימודים/תכנית-הלימודים-של-בית-הספר-היסודי/,page,תוכנית הלימודים של בית הספר היסודי,/curriculum.html,mapped,
/calendar/1789/,calendar,לוח שנה,/events.html,review,עמוד לוח השנה היחיד באתר הישן; לבדוק מה הוא מכיל
/category/bells/,category,פעמונים,/content-library.html,review,קטגוריה באתר הישן (1 פריטים)
/category/mng/,category,פורום מנהלים,/forum-workgroups.html,mapped-section,קטגוריה באתר הישן (1 פריטים)
/category/pr/,category,מודעות ופרסומים,/news.html,mapped-section,קטגוריה באתר הישן (155 פריטים)
/category/uncategorized/,category,uncategorized,/news.html,review,קטגוריה באתר הישן (2 פריטים)
/category/waldorfbook/,category,חינוך ולדורף – עקרונות ויישומים (הספר),/content-library.html,mapped-section,קטגוריה באתר הישן (14 פריטים)
/category/אגרת/,category,אגרת - חינוך ולדורף בישראל,/forum-newsletter.html,mapped-section,קטגוריה באתר הישן (3 פריטים)
/category/אדם-ואדמה/,category,אדם ואדמה,/curriculum-gardening.html,mapped,קטגוריה באתר הישן (4 פריטים)
/category/אוריתמיה/,category,אוריתמיה,/curriculum-eurythmy.html,mapped,קטגוריה באתר הישן (3 פריטים)
/category/אמנות-הדיבור/,category,אמנות הדיבור,/curriculum-drama.html,mapped,קטגוריה באתר הישן (5 פריטים)
/category/אמנות-ציור/,category,אמנות - ציור,/curriculum-painting.html,mapped,קטגוריה באתר הישן (3 פריטים)
/category/אמנות-רישום-רישום-צורות-גרפיקה/,category,"אמנות - רישום, רישום צורות, גרפיקה",/curriculum-form-drawing.html,mapped,קטגוריה באתר הישן (3 פריטים)
/category/אנגלית/,category,אנגלית,/curriculum-languages.html,mapped,קטגוריה באתר הישן (1 פריטים)
/category/בוטמר-ומשחקים/,category,בוטמר ומשחקים,/curriculum-pe.html,mapped,קטגוריה באתר הישן (2 פריטים)
/category/גאוגרפיה/,category,גאוגרפיה,/curriculum-geography.html,mapped,קטגוריה באתר הישן (3 פריטים)
/category/היסטוריה/,category,היסטוריה,/curriculum-history.html,mapped,קטגוריה באתר הישן (4 פריטים)
/category/העמקה-מאמרים-ספרים-וקישורים-2/,category,"העמקה - מאמרים, ספרים וקישורים | גן הילדים",/kinder-articles.html,mapped,קטגוריה באתר הישן (0 פריטים)
/category/העמקה-מאמרים-ספרים-וקישורים-שאלות/,category,"העמקה - מאמרים, ספרים וקישורים |שאלות מתודיות",/content-library.html,mapped,קטגוריה באתר הישן (0 פריטים)
/category/העמקה-מאמרים-ספרים-וקישורים/,category,"העמקה - מאמרים, ספרים וקישורים | ניהול משותף",/content-library.html,mapped,קטגוריה באתר הישן (0 פריטים)
/category/חשבון/,category,חשבון ומתמטיקה,/curriculum-math.html,mapped,קטגוריה באתר הישן (4 פריטים)
/category/כימיה/,category,כימיה,/curriculum-science.html,mapped,קטגוריה באתר הישן (3 פריטים)
/category/מאמרים/,category,מאמרים,/content-library.html,mapped-section,קטגוריה באתר הישן (42 פריטים)
/category/מדעי-החיים/,category,מדעי החיים,/curriculum-science.html,mapped,קטגוריה באתר הישן (3 פריטים)
/category/מוזיקה/,category,מוזיקה,/curriculum-music.html,mapped,קטגוריה באתר הישן (3 פריטים)
/category/מלאכות-יד/,category,מלאכות יד,/curriculum-handwork.html,mapped,קטגוריה באתר הישן (5 פריטים)
/category/מפגש-פורום-ארצי-שאלת-האדם-בתרבות-הדיגי/,category,מפגש פורום ארצי: שאלת האדם בתרבות הדיגיטלית,/events.html,mapped-section,קטגוריה באתר הישן (2 פריטים)
/category/משאבים/,category,עבודות גמר,/curriculum-capstone.html,mapped-section,קטגוריה באתר הישן (51 פריטים)
/category/עברית-ולשון/,category,עברית ולשון,/curriculum-hebrew.html,mapped,קטגוריה באתר הישן (2 פריטים)
/category/ערבית/,category,ערבית,/curriculum-languages.html,mapped,קטגוריה באתר הישן (0 פריטים)
/category/פיזיקה/,category,פיזיקה,/curriculum-science.html,mapped,קטגוריה באתר הישן (2 פריטים)
/category/פרוטוקולים/,category,הפורום הארצי - הודעות,/news.html,mapped-section,קטגוריה באתר הישן (12 פריטים)
/category/תנך/,category,"תנ""ך",/curriculum-literature.html,mapped,קטגוריה באתר הישן (2 פריטים)
/program_category/חינוך-ולדורף-עקרונות-ויישומים-הספר/,category,חינוך ולדורף עקרונות ויישומים (הספר),/content-library.html,mapped,program_category
/program_category/מבוא/,category,מבוא,/curriculum.html,mapped,program_category
/program_category/רשימת-ספרות-מומלצת/,category,רשימת ספרות מומלצת,/content-library.html,mapped,program_category
/program_category/תוכנית-הלימודים-לבית-ספר-יסודי/,category,תוכנית הלימודים לבית ספר יסודי,/curriculum.html,mapped,program_category
/program_category/תוכנית-הלימודים-לבית-ספר-תיכון/,category,תוכנית הלימודים לבית ספר תיכון,/curriculum.html,mapped,program_category
